file;isym_after;mode_applied
sample_01;3;C90
sample_02;4;both
sample_03;2;C0
sample_04;2;C0
sample_05;1;rot
sample_06;1;rot
sample_07;4;both
sample_08;4;both
sample_09;4;both
sample_10;4;both
sample_11;2;C0
sample_12;2;C0
sample_13;1;rot
sample_14;1;rot
sample_15;4;both
sample_16;3;C90
sample_17;4;both
sample_18;4;both
sample_19;4;both
sample_20;2;C0
sample_21;1;rot
sample_22;3;C90
sample_23;3;C90
sample_24;0;none
sample_25;3;C90
sample_26;0;none
sample_27;0;none
sample_28;0;none
sample_29;4;both
sample_30;4;both
sample_31;1;rot
sample_32;1;rot
sample_33;3;C90
sample_34;3;C90
sample_35;1;rot
sample_36;4;both
sample_37;2;C0
sample_38;2;C0
sample_39;1;rot
sample_40;4;both
sample_41;2;C0
sample_42;1;rot
